Chain,Monomer,X,Y,Z
Chain1,0,0,20,12
Chain1,1,0,23,11
Chain1,2,0,22,14
Chain1,3,0,24,13
Chain1,4,0,26,10
Chain1,5,0,26,12
Chain1,6,0,27,15
Chain1,7,0,25,15
Chain1,8,0,26,18
Chain1,9,0,29,17
Chain1,10,0,31,20
Chain1,11,0,31,22
Chain1,12,0,34,23
Chain1,13,0,34,21
Chain1,14,0,36,18
Chain1,15,0,38,15
Chain1,16,0,35,15
Chain1,17,0,37,13
Chain1,18,0,38,11
Chain1,19,0,39,9
Chain1,20,0,38,7
Chain1,21,0,41,9
Chain1,22,0,43,9
Chain1,23,0,44,12
Chain1,24,0,47,13
Chain1,25,0,48,15
Chain1,26,0,51,14
Chain1,27,0,52,17
Chain1,28,0,55,15
Chain1,29,0,58,16
Chain1,30,0,59,13
Chain1,31,0,62,11
Chain1,32,0,64,13
Chain1,33,0,66,10
Chain1,34,0,69,11
Chain1,35,0,72,10
Chain1,36,0,73,7
Chain1,37,0,75,6
Chain1,38,0,76,3
Chain1,39,0,78,2
Chain2,0,2,27,30
Chain2,1,2,25,31
Chain2,2,2,27,33
Chain2,3,2,29,31
Chain2,4,2,32,29
Chain2,5,2,30,29
Chain2,6,2,28,27
Chain2,7,2,30,26
Chain2,8,2,31,23
Chain2,9,2,33,26
Chain2,10,2,36,24
Chain2,11,2,38,25
Chain2,12,2,41,24
Chain2,13,2,42,22
Chain2,14,2,44,25
Chain2,15,2,46,23
Chain2,16,2,49,23
Chain2,17,2,49,26
Chain2,18,2,51,23
Chain2,19,2,53,23
Chain2,20,2,55,24
Chain2,21,2,57,24
Chain2,22,2,59,21
Chain2,23,2,61,18
Chain2,24,2,64,16
Chain2,25,2,64,18
Chain2,26,2,66,16
Chain2,27,2,67,13
Chain2,28,2,64,13
Chain2,29,2,63,11
Chain2,30,2,64,8
Chain2,31,2,66,8
Chain2,32,2,68,5
Chain2,33,2,68,2
Chain2,34,2,70,2
Chain2,35,2,72,4
Chain2,36,2,74,6
Chain2,37,2,74,4
Chain2,38,2,75,2
Chain2,39,2,78,2
