Chain,Monomer,X,Y,Z
Chain1,0,0,0,2
Chain1,1,0,2,2
Chain1,2,0,4,2
Chain1,3,0,6,2
Chain1,4,0,8,2
Chain1,5,0,10,2
Chain1,6,0,12,2
Chain1,7,0,14,2
Chain1,8,0,16,2
Chain1,9,0,18,2
Chain1,10,0,20,2
Chain1,11,0,22,2
Chain1,12,0,24,2
Chain1,13,0,26,2
Chain1,14,0,28,2
Chain1,15,0,30,2
Chain1,16,0,32,2
Chain1,17,0,34,2
Chain1,18,0,36,2
Chain1,19,0,38,2
Chain1,20,0,40,2
Chain1,21,0,42,2
Chain1,22,0,44,2
Chain1,23,0,46,2
Chain1,24,0,48,2
Chain1,25,0,50,2
Chain1,26,0,52,2
Chain1,27,0,54,2
Chain1,28,0,56,2
Chain1,29,0,58,2
Chain1,30,0,60,2
Chain1,31,0,62,2
Chain1,32,0,64,2
Chain1,33,0,66,2
Chain1,34,0,68,2
Chain1,35,0,70,2
Chain1,36,0,72,2
Chain1,37,0,74,2
Chain1,38,0,76,2
Chain1,39,0,78,2
Chain2,0,2,0,2
Chain2,1,2,2,2
Chain2,2,2,4,2
Chain2,3,2,6,2
Chain2,4,2,8,2
Chain2,5,2,10,2
Chain2,6,2,12,2
Chain2,7,2,14,2
Chain2,8,2,16,2
Chain2,9,2,18,2
Chain2,10,2,20,2
Chain2,11,2,22,2
Chain2,12,2,24,2
Chain2,13,2,26,2
Chain2,14,2,28,2
Chain2,15,2,30,2
Chain2,16,2,32,2
Chain2,17,2,34,2
Chain2,18,2,36,2
Chain2,19,2,38,2
Chain2,20,2,40,2
Chain2,21,2,42,2
Chain2,22,2,44,2
Chain2,23,2,46,2
Chain2,24,2,48,2
Chain2,25,2,50,2
Chain2,26,2,52,2
Chain2,27,2,54,2
Chain2,28,2,56,2
Chain2,29,2,58,2
Chain2,30,2,60,2
Chain2,31,2,62,2
Chain2,32,2,64,2
Chain2,33,2,66,2
Chain2,34,2,68,2
Chain2,35,2,70,2
Chain2,36,2,72,2
Chain2,37,2,74,2
Chain2,38,2,76,2
Chain2,39,2,78,2
