Temperature,E,Esquared,d1,d2,Cv
0.1,-120,14400,2,2,0.00669955
0.2,-119.951,14388.3,2.0012,2.00067,1.51149
0.3,-115.126,13259.2,2.02187,2.06881,58.8962
0.4,-110.166,12156.5,2.31386,2.45108,124.709
0.5,-93.4529,8772.93,4.0429,3.22977,157.937
0.6,-58.7297,3565,3.55798,4.44682,321.705
0.7,-53.6918,2931.06,7.92968,25.2481,98.4701
0.8,-50.4825,2567.53,14.0435,23.8373,29.7703
0.9,-44.128,1960.36,17.2107,32.1182,16.1515
1,-49.2574,2429.68,34.287,38.8702,3.38826
1.1,-50.987,2602.48,43.1112,42.3188,2.31742
1.2,-50.198,2522.55,37.6265,38.1181,1.87914
1.3,-48.3875,2344.14,28.2889,32.1652,1.65067
1.4,-46.0267,2120.82,29.0861,37.8797,1.20241
1.5,-48.0475,2311.46,33.0458,37.107,1.28844
1.6,-46.9293,2206.14,26.2789,21.7034,1.47894
1.7,-50.6485,2569.48,41.5268,22.1294,1.45588
1.8,-51.9805,2704.16,32.7291,22.3049,0.677852
1.9,-52.2921,2735.8,29.4831,24.8317,0.370016
2,-51.6986,2675.02,34.2044,8.70337,0.569888
2.1,-51.1098,2613.35,42.5451,13.7788,0.258712
2.2,-49.9759,2498.58,37.2112,10.3311,0.204087
2.3,-50.8889,2590.52,36.5546,33.5758,0.159209
2.4,-49.7196,2472.65,36.8275,38.0999,0.106237
2.5,-48.2177,2326.46,41.1979,34.2372,0.242308
2.6,-50.3206,2534.03,34.6202,9.68725,0.2765
2.7,-50.2329,2524.69,35.7595,8.78804,0.184406
2.8,-47.7668,2284.14,33.3197,30.6278,0.31512
2.9,-46.43,2157.57,35.8563,42.5435,0.217449
3,-50.3983,2541.82,40.5298,46.4473,0.203681
